"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Genus"
"394eda29c886632f514dd94b58381186",12.825927955549,3.11622574317045,1.5381147744762,2.02600338731657,0.0427644375273668,0.474685256553772,"Haemophilus"
"7a3090aa682623800304aca0da51c22c",30.8760051844921,-3.60656307843011,1.42692098789358,-2.52751421349132,0.0114873174123915,0.474685256553772,"Faecalitalea"
"e865f29a716e8d51f83931befa951240",41.5140737125447,3.18228238096668,1.50122039685277,2.11979692498062,0.0340231747481381,0.474685256553772,"Erysipelotrichaceae_UCG-003"
"f7447c8e079023f4f2579d8580575dd3",354.468306177154,-1.35116005403321,0.51740413164895,-2.61142107568238,0.00901667976058217,0.474685256553772,"Lactobacillus"
"306885bb108656641ce13c5a740ef46c",138.083256116951,2.5342886749322,1.04333518347203,2.42902637146632,0.0151394310940648,0.474685256553772,"Murdochiella"
"4ddcfae7911092976b66d0799c96d4d7",4.35717873509351,5.1187637616394,2.50807527401843,2.04091313154175,0.0412594623388968,0.474685256553772,"Incertae_Sedis"
"c53e42b981a64c89c69a5e6032bf49a2",71.2117857954637,-3.08514240338972,1.48411486063992,-2.07877603358777,0.0376379407018308,0.474685256553772,"Prevotellaceae_UCG-001"
"742e1f191223f58590661de80b9d6e3b",410.664984224609,1.67801103641441,0.821076224720979,2.04367266508617,0.0409858953699278,0.474685256553772,"Alistipes"
"d9eea834805833ac21a86fdabedd8556",45.1559873576503,3.39418211053462,1.50638507611324,2.25319685142676,0.0242467398478468,0.474685256553772,"Ruminococcus"
"f479c23321346918723839e33a3544f4",206.061456507627,-1.7540063472793,0.783151962445905,-2.23967560752995,0.0251119902562913,0.474685256553772,"Ruthenibacterium"
"c24e0e391aa836b5eae25567c7eb89ee",186.308005369731,-1.91204968774755,0.979912891063902,-1.95124454957585,0.0510279618012496,0.514918523630792,"[Ruminococcus]_gnavus_group"
"d46e2205f0c6ecf67b51f83d111c509c",4200.51474051038,-1.48451743193287,0.779416978935427,-1.90465113290258,0.0568254351328612,0.525635274978966,"Escherichia-Shigella"
"8365c56e7d1f57079c8821b426206d94",912.093452353526,1.05679621747401,0.643038756993572,1.64344093723821,0.10029173603703,0.742158846674019,"Campylobacter"
"c8364ffd28638c0516d23fb9cbe39cec",2.34038638414387,4.61408105747617,2.79367494526649,1.65161700909196,0.0986126503934635,0.742158846674019,"Ureaplasma"
"e502ebea2a54a6f839d310d6d57e7d47",122.554796027279,-2.50500917546708,1.47890665672386,-1.69382507278471,0.0902985281917881,0.742158846674019,"Fusobacterium"
"21401b105dc53b367b8fdc0ec97a9f02",195.808650963875,-1.31632254423202,1.31497915075167,-1.00102160819781,0.31681636185208,0.852805605717116,"Sutterella"
"69a11f927915e2a3ba1f7b9c84486527",403.662256024596,-0.809491717046749,1.02257461036035,-0.791621177413632,0.42858159490348,0.852805605717116,"Parasutterella"
"7b28c20e72c6c95b3e604f0849245770",37.9633425141644,3.92229129318021,2.81605919898603,1.39282984341824,0.163671251552297,0.852805605717116,"Akkermansia"
"2359b6a4d6a1188eac7ed4daae3e165f",86.5830147094844,0.880509115784753,1.13980944019952,0.77250554762086,0.439815062455153,0.852805605717116,"Varibaculum"
"73ddef4c71b516586e803b622be15dd0",6.87154671164072,2.02825815905121,1.9340688491513,1.04870008114822,0.294316176900596,0.852805605717116,"Arcanobacterium"
"a8e53bd66879cd51ecb4e7daf552accb",147.097278521611,-0.775764454306383,1.03414078578887,-0.750153620248725,0.453162188469387,0.852805605717116,"Gardnerella"
"5a6c87d6a4eb5e114959f6192f29b641",129.748050709108,1.39656197805399,1.18270391098192,1.18082130707973,0.237673717808055,0.852805605717116,"Bifidobacterium"
"5f8d35126b0a7321413d21487ec72b73",20.8707338899926,-0.720537110446067,1.07310303667983,-0.671451935012133,0.501932669343802,0.852805605717116,"[Clostridium]_innocuum_group"
"a663a01aeb4dbb88bbe0a9840e8f64dc",25.1476018915265,-1.53998693993609,1.34703943289293,-1.14323820248437,0.252939704918078,0.852805605717116,"Thomasclavelia"
"fd2eb1fe2266eed160a855f715f7c77e",588.906250260394,1.35994550963124,0.952085224136214,1.42838632000099,0.15318069449254,0.852805605717116,"Streptococcus"
"c45a3b1ba3c7be52bf6cfd79c71d1286",2.11285781010166,-1.9978017599256,2.89418688175054,-0.69028084278968,0.490017592734433,0.852805605717116,"Aerococcus"
"65d43491988bfe557da4d86a5ba25dae",1.67923354076666,2.48088847598853,2.55497977269582,0.971001219853451,0.331547671125539,0.852805605717116,"Staphylococcus"
"70ccde8ba36f6355483b86ee336e82c2",0.921001118008143,2.7097502257647,3.33520066004031,0.812469923693271,0.416522037754557,0.852805605717116,"Gemella"
"e673dc964cf400af5e4dbeb2991f4b11",5.11959990814326,-1.32368655910549,1.53335180176897,-0.863263445204421,0.387992637641404,0.852805605717116,"Slackia"
"35cbb315e019e0a8768d4b73862df415",98.195262273114,0.76848468905555,1.07182766965861,0.716985305389928,0.473383163738594,0.852805605717116,"Collinsella"
"a22c8ef72659b99e76dd5d4ec6b37843",32.8557583889471,1.58252863175457,1.55114183477256,1.02023464023625,0.307617192667598,0.852805605717116,"Fannyhessea"
"7fae613f7cc102eb5599d1caa6893bb9",358.58550994384,1.23017808395108,0.93741717313714,1.31230589667372,0.189416943376301,0.852805605717116,"Ezakiella"
"052ed87a5bce8789c20b59effda065d6",533.013614135594,0.734376386752972,0.908447172487593,0.808386452172046,0.418868148545746,0.852805605717116,"Fenollaria"
"9ee9d7f1e7a96963f1ee2668f858fced",681.711592745282,0.49048228158186,0.663243224415619,0.739520983443173,0.459590702819634,0.852805605717116,"Anaerococcus"
"22b3c70cdfb1714224e1bf8a6314bee9",1355.69549055681,0.6506640851481,0.61015241899156,1.06639597729285,0.286244679378789,0.852805605717116,"Finegoldia"
"d8e7f9181e4d5a4a6453e9ca9996a43f",671.355246902249,-0.468632128110817,0.681886243898551,-0.68725851607081,0.491919835481265,0.852805605717116,"Parabacteroides"
"958d54f6c2724fdc04ad01d39d59aaca",810.476921141606,0.510915259804701,0.734771869902464,0.695338622411499,0.486843115375721,0.852805605717116,"Hoylesella"
"675c847bccbc53942ebb7b8cbb4efc4d",60.8281775200509,-2.19636238702294,3.03842335263245,-0.722862528396523,0.469764347003795,0.852805605717116,"Segatella"
"27335f508429bf2100f5dded19cea135",22.8692682636122,-1.00118270917037,1.34009005982642,-0.747101063715117,0.455002558169428,0.852805605717116,"Peptococcus"
"b621d4b3cca1ec89ceca12efca8a94fb",19.5568334881365,2.10653458515217,1.48342414587242,1.42004873724992,0.155593492753298,0.852805605717116,"Christensenellaceae_R-7_group"
"1b92901eaf73176b86069084ac8c13e3",60.2751938454478,-1.03103891708999,1.08006292522851,-0.954610044476668,0.339774935729873,0.852805605717116,"Lachnospiraceae_UCG-010"
"b0e56c25ca193e27096e8fb4eb560eee",85.2445637977959,-2.32992291914766,1.56002476951146,-1.49351661889145,0.135302007347718,0.852805605717116,"Eisenbergiella"
"11b7d5a0dd0446562be236a4a9144c75",65.7050144238098,-0.652899603294475,0.851937618107303,-0.766370200608093,0.443456058656115,0.852805605717116,"Colidextribacter"
"5fbc483f79cd97d3a7253931f37c33e8",188.311714449379,-0.469040316495358,0.584326276714042,-0.80270276245834,0.422146555884131,0.852805605717116,"Flavonifractor"
"149465e40c1bdbc6230588a58a4d6eb0",195.918305476903,-0.693487805470101,0.608443329610745,-1.13977386507592,0.254380524601962,0.852805605717116,"Acutalibacter"
"f5f5e0da89730462abaf6301a9557193",2088.73920190797,0.690366858889806,0.746171736610235,0.925211750884664,0.354855772244691,0.852805605717116,"Faecalibacterium"
"9639a3291729a3758207b47715d9205f",368.971370063456,0.680028094327968,0.787904000097486,0.863084962436831,0.38809075515223,0.852805605717116,"Gemmiger"
"4bd01f90398375480101204bbcdd2ceb",83.7281227781018,1.30682262853912,1.52467777026985,0.857113977799935,0.391381896951888,0.852805605717116,"UCG-005"
"9192b3275c36e56540678451adfa601f",209.330791751649,0.776615538333775,1.0762127707606,0.721618958103344,0.470528780140257,0.852805605717116,"UCG-002"
"6851a4ee264b56be2fff4686ce269907",44.9227261463815,1.00966887276188,1.02639149683985,0.983707362999928,0.325259418504271,0.852805605717116,"Anaerobutyricum"
"923fed1e3a5c67f886eb287b585a924a",3.72656690966115,1.82863066822215,1.67944805114804,1.08882836058676,0.276229582602309,0.852805605717116,"GCA-900066575"
"9e1f282914b07cd79711ce21e7cf4aff",27.574370052419,1.64007184794539,1.70010887687504,0.964686362299334,0.334701928030899,0.852805605717116,"[Eubacterium]_eligens_group"
"36d9ad396b85196c9b4cf68b81789585",50.7883139841181,1.34099836501301,1.18590410205104,1.1307814541612,0.258147087653728,0.852805605717116,"Lachnospira"
"33518e48b174ac428cb7be1a216c6c6e",47.0148362540701,1.34240516493742,0.984137149576591,1.36404277139113,0.172554104611582,0.852805605717116,"Anaerostipes"
