"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Genus"
"a22c8ef72659b99e76dd5d4ec6b37843",396.975055593933,4.37291256826594,1.27238716920916,3.43677826536391,0.000588677313298171,0.0353206387978902,"Fannyhessea"
"27f098662c8f87b4aaff903d9c0f28d3",0.0584463733856562,0.206619970903716,3.2917770577125,0.0627685190343051,0.949950834589767,1,"Bilophila"
"394eda29c886632f514dd94b58381186",0.227833128602501,0.796591306879387,3.2906442261785,0.242077615240857,0.80872002287549,1,"Haemophilus"
"d46e2205f0c6ecf67b51f83d111c509c",3.59392722189947,-0.857298527834063,1.48177635445137,-0.578561349868131,0.562885190278497,1,"Escherichia-Shigella"
"21401b105dc53b367b8fdc0ec97a9f02",0.296663074512659,1.32501036458154,3.28938805949425,0.40281363603699,0.687085328969042,1,"Sutterella"
"8365c56e7d1f57079c8821b426206d94",2.49067040989952,-0.724657972464392,1.53519992914775,-0.472028404057233,0.636906514535395,1,"Campylobacter"
"7b28c20e72c6c95b3e604f0849245770",0.00931454593597367,-0.286809712482548,3.29243719708322,-0.0871116729991488,0.930582746947934,1,"Akkermansia"
"820f6693f569e339f183638cd73a7fe6",0.236976419807373,-0.158872048460329,3.29035647236107,-0.0482841448319814,0.961489790406384,1,"Lawsonella"
"2359b6a4d6a1188eac7ed4daae3e165f",1.02547336175862,-1.86696109306614,2.61521911688087,-0.713883238698882,0.475299382629508,1,"Varibaculum"
"a814e18dc6c018749b8c0e8f314a63aa",1.41729638978127,2.648563168855,2.44799262096016,1.08193266032647,0.279282451102688,1,"Winkia"
"09ecf5a6ae593fbc03199102562aeb4b",0.0880502189700076,-0.672392672549748,3.29080617202779,-0.204324605400695,0.838099843215916,1,"Schaalia"
"c5e48d33cc9cb2091f9867c5937315dd",1.51877359215851,1.0784336484997,2.36870120670994,0.455284797189602,0.648904362070344,1,"Mobiluncus"
