baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	KO	significance
58.485992171168604	26.36696470594307	2.60584747568996	10.118383731941865	4.579146570979771e-24	1.6251391180407206e-20	K01143	Significant
276.35820374365966	-1.9241903927424113	0.4845894704851058	-3.9707639351225907	7.164253947443969e-5	0.03533109471495029	K03206	Significant
14.757386330099395	30.067741113892392	3.3314727523985357	9.02536005802381	1.7910540291822387e-19	3.1782253747838826e-16	K04437	Significant
581.5219141614631	-1.8976210396038171	0.44437041219521356	-4.270358663686603	1.951588652328179e-5	0.012593069322023103	K05910	Significant
8.70685878997661	22.918637604865427	3.1738320000455977	7.221125001114161	5.155923083611543e-13	6.099457007912455e-10	K06417	Significant
14.757386330099395	30.067741113892392	3.3314727523985357	9.02536005802381	1.7910540291822387e-19	3.1782253747838826e-16	K06572	Significant
155.30865143501902	4.333902378191543	1.08627350483847	3.989697216113173	6.615769272096477e-5	0.03533109471495029	K07186	Significant
141.01312363152516	4.982350902048037	1.21735133914575	4.092779743885848	4.262325502211397e-5	0.025211655345580414	K11605	Significant
50.84678529627582	3.797707389543992	0.9737839616814676	3.899948591252576	9.621311534081175e-5	0.042682543293067615	K12070	Significant
274.5814598381905	6.777515033910749	1.5469357101631622	4.381251909425437	1.1799934921040405e-5	0.009306215341060532	K12139	Significant
138.5835287118483	6.491118107985606	1.5159835039003902	4.281786768315729	1.853985980070331e-5	0.012593069322023103	K12144	Significant
9.18237371650629	25.809997738580044	3.3316569150103787	7.746895432808886	9.416643837991993e-15	1.3367867592413432e-11	K13408	Significant
8.235345858268179	22.793748797312897	3.332087072989551	6.840682220486612	7.881692061444094e-12	6.993031281516273e-9	K16567	Significant
233.59135797209998	2.6750800655095905	0.6753698071814384	3.960911543667704	7.466419001468784e-5	0.03533109471495029	K18650	Significant
13.27840820449173	37.04883985236122	3.3315066184591915	11.120746285503753	9.943671218772238e-29	7.058017831084534e-25	K19056	Significant
8.235345858268179	22.793748797312897	3.332087072989551	6.840682220486612	7.881692061444094e-12	6.993031281516273e-9	K19877	Significant
