baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	KO	significance
25.760269727332517	-6.117690995323804	1.4332588280845582	-4.268378380407142	1.9689913119023008e-5	0.00777867391219756	K00091	Significant
15.813785975132781	-4.981446625969304	1.1108380603259722	-4.484403986398803	7.311801967024401e-6	0.003777389385425837	K00380	Significant
3.4410691900822687	-23.8217358532631	3.2004643723999586	-7.4432123221542685	9.826595700879077e-14	3.2997708363551944e-10	K00972	Significant
71.84005474727263	-5.761167400303653	1.2394568600568379	-4.6481387016886275	3.3494366973222716e-6	0.002044983350837852	K01654	Significant
53.35183904847107	19.813517431957692	2.7122615215159516	7.305164813488714	2.76927087891086e-13	6.199474407588444e-10	K05937	Significant
126.65244636283609	-7.089523098890562	1.5922619833289733	-4.4524853153049335	8.488204693557774e-6	0.004071913051566715	K06298	Significant
74.96418747341406	-5.658533675026915	1.293736199379334	-4.373792491654465	1.2210645332234358e-5	0.005125418378205372	K07814	Significant
26.95796958485871	-5.15633220796983	1.1447730758956673	-4.504239588213174	6.661102327135589e-6	0.003727996935753551	K09690	Significant
69.20165651708128	-5.768434061272432	1.315752013837434	-4.384134700617789	1.1644770676812136e-5	0.005125418378205372	K17716	Significant
14.692133122943348	-19.58023315056541	3.553772447982636	-5.509703684511508	3.594382554217509e-8	3.0174841542655988e-5	K18939	Significant
2.80754865761958	-23.859131985408922	3.411947370658219	-6.992819464506018	2.694161133880968e-12	4.523496543786145e-9	K19169	Significant
2.759506879031867	-23.812575695390752	3.731544308801046	-6.381426488552615	1.7544593786635764e-10	1.6832784553006543e-7	K19170	Significant
2.9708907048178035	-23.40860948882359	3.4310476616861867	-6.822583594574562	8.941756460348956e-12	1.2010567277540718e-8	K19172	Significant
7.25341980456144	-23.256924318977035	4.418971841875995	-5.2629718294615175	1.4174530407065472e-7	9.519614621385171e-5	K20486	Significant
3.618087969656583	-23.827006255756398	2.988796178933526	-7.9721081095126545	1.5599025178964074e-15	1.0476305310192273e-11	K21350	Significant
2.61246812903596	-24.175050545761525	4.4176672268644355	-5.472356631742145	4.44089997794072e-8	3.3138982502055415e-5	K21743	Significant
63.75730404905095	-10.345664466698164	1.5979234460330485	-6.474443123281009	9.516224800569625e-11	1.0651827626770933e-7	K22477	Significant
