ASV	Domain	Phylum	Class	Order	Family	Genus	Species	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
7af6fc12809fdafab918881f836460f8	d__Bacteria	p__Bacillota.10	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	NA	NA	75.36716499133573	-3.021258590657368	0.7163528372736958	-4.217556535625251	2.46963912048108e-5	3.609732796648373e-4
b7e5e417da183df1d5cb33a51a10991d	d__Bacteria	p__Bacteroidota.5	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA	6.512845811326009	-2.976276549332042	0.5492158462066347	-5.41913815831938	5.988702582794756e-8	2.203429536497243e-6
7eac17dba253d45b7426ebc866487e31	d__Bacteria	p__Bacillota.11	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	NA	NA	3.2078050461206744	-2.961118199653855	0.5057292605561914	-5.855145095613558	4.76593741424046e-9	3.178284513121607e-7
18812bd61aeb2cea2081498cfa9ee3c8	d__Bacteria	p__Bacteroidota.6	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	NA	3.1479531988264786	-2.9258670055477767	0.4988505842021157	-5.865217157613519	4.485452638815773e-9	3.178284513121607e-7
5cae10424570f575a812a5a31f5f1483	d__Bacteria	p__Actinomycetota.1	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Atopobium	NA	3.82732538780909	-2.814312232569462	0.5178978822748129	-5.4341064694218995	5.5071692502945744e-8	2.0986248535943964e-6
45ddc69a3fbf19ff4953211c157cb9ac	d__Bacteria	p__Bacteroidota.7	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Massiliprevotella	NA	5.6085270736738835	-2.7173980404427813	0.5675024619796105	-4.788345817855523	1.6816168756384717e-6	3.817628098523935e-5
99bccd58aaeb00f98e22add40be6e36b	d__Bacteria	p__Bacillota.12	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Peptostreptococcaceae	g__Clostridioides	NA	2.5611399976438936	-2.623849235528681	0.49126929473929215	-5.340959151377679	9.245608992182696e-8	3.2739680981260555e-6
ed2705c46014388e410c33059f14abbf	d__Bacteria	p__Bacteroidota.8	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Hoylesella	NA	2.646136114429391	-2.590414537981743	0.4856827847276578	-5.333552309115289	9.630980205031939e-8	3.2739680981260555e-6
dd46e2d5cd81a8add2304556257a92f7	d__Bacteria	p__Bacillota.13	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	NA	2.5938213784025246	-2.549865805945762	0.4783947864392625	-5.330045138921045	9.818835908156867e-8	3.2739680981260555e-6
a63f65ad0f7a1ffc9e5ea828e95cdd6b	d__Bacteria	p__Bacillota.14	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia	NA	19.02715512308605	-2.5129826332299174	0.6233069866574489	-4.031693350183765	5.537641145981283e-5	6.794541883278668e-4
