ASV	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
d46e2205f0c6ecf67b51f83d111c509c	7.36986301369863	2.1326760607031527	0.5694098099461345	3.74541503052942	1.8009579572239871e-4	0.001800957957223987
282dd7867741c58a5b4084ad8dcf416e	8.205479452054794	3.891623330520961	0.6564309417800338	5.928458094873019	3.0579242573128426e-9	8.409291707610317e-8
fd2eb1fe2266eed160a855f715f7c77e	16.26027397260274	4.276998947034195	0.6776852586586772	6.311187815269193	2.769019021151521e-10	8.70263120933335e-9
ff3739dd5a3c35cf09f01a391ce07570	4.698630136986301	-2.037152633278986	0.5437716758774838	-3.746338258592883	1.7943460339333786e-4	0.001800957957223987
0640e9dab39f8ff89a9bdef119e0fe6f	25.575342465753426	3.403124096975136	0.7323083355055134	4.647119160026978	3.366027457640387e-6	6.171050339007376e-5
e68712d76951fcc660c7df2d1116d320	4.698630136986301	3.018858735604755	0.5874367365479525	5.139036338355263	2.761509976186795e-7	6.075321947610949e-6
5f69e7570cbc0562106258b3252493c0	24.82191780821918	2.67038525099502	0.7338558953241657	3.6388414510391476	2.738673364994395e-4	0.0025104505845781953
e09d949d7cec463caece6ea299532d89	54.56164383561644	6.523146658195612	0.8046871686966948	8.106438019585642	5.212528904315546e-16	3.822521196498067e-14
a22c8ef72659b99e76dd5d4ec6b37843	2112.5890410958905	2.6061010390954613	0.9670947346543374	2.6947732685432766	0.007043654242871195	0.03779521788857715
79782755a18c72d86cf07428121c811d	42.64383561643836	6.22374547295276	0.7910575970588921	7.867626195731256	3.6143361081327625e-15	1.9878848594730193e-13
3ee2737f18047cff2f0d8eb20c8385c3	2.8493150684931505	2.1529516914556233	0.5398981370134712	3.987699797159893	6.671701152347515e-5	8.15430140842474e-4
13c1b2a8c491cf3fba2fa50e45717450	3.4794520547945207	2.4244974619925497	0.5540474282827197	4.375974579481985	1.208911037116972e-5	2.045849447428722e-4
46e9544e9c5e7ed6d90a7b50a8a9c990	6.424657534246576	3.1656995799111	0.614872220755956	5.148548711501429	2.6250961782246177e-7	6.075321947610949e-6
7fb08fa9b7b2eef6a3db57d0de769227	2.6027397260273974	2.0281967297661367	0.5293696811885779	3.8313428249466184	1.2744577882285623e-4	0.0014756879653172828
49f7701312ac7878e8c245d65760c2cf	3.219178082191781	2.337034700665331	0.5403818091016896	4.32478418278056	1.5268126351171693e-5	2.399276998041266e-4
b59663fd23553a90c237e6b94095cfc3	5.561643835616438	2.344113698922975	0.5843293879107322	4.011630678553318	6.0300783038985725e-5	7.803630746221682e-4
5dc4a87514f65e55bd373c1283e95fc4	32.342465753424655	5.241105959825264	0.7197614759488693	7.2817261481185245	3.295755870223904e-13	1.4501325828985179e-11
cbba35c0152682628245fca0d2efa51e	32.9041095890411	5.149845664883559	0.7717055350450154	6.673329956850908	2.5006329268935462e-11	9.168987398609668e-10
ed2705c46014388e410c33059f14abbf	56.136986301369866	-5.746277066725085	0.6879794603635395	-8.352396252772806	6.68918127110721e-17	7.358099398217931e-15
ca647fe90e501808421954e5fbf9faa6	18.54794520547945	3.6318815695882676	0.7107599764541609	5.109856618132885	3.224033933648586e-7	6.448067867297172e-6
b1a2eb74f17971864ed1ed964da108e5	85.9041095890411	6.654196656474594	0.7622664322085673	8.729489290502967	2.5582517723329532e-18	5.628153899132497e-16
63749f93fa752451b71632e68523bb95	16.78082191780822	-2.2401077172380424	0.6561360249526812	-3.414090420350861	6.399533344091414e-4	0.005414989752692735
