ASV	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Domain	Phylum	Class	Order	Family	Genus	Species	abslogFC	logFC_padj
e220e84c750738e230e8ecfe97decc4c	2.764027109406572	-2.0489726836323845	0.6412033479763934	-3.1955115176781943	0.0013958321163041278	0.01329779346514736	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Faecalimonas	NA	2.0489726836323845	154.08365974419792
c67445ed68d61f49e41b7bdd1de019fb	434.0479769456085	2.7142176008573906	0.8962871685511982	3.028290146387773	0.0024594182726170575	0.0194520039865535	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Enterocloster	NA	2.7142176008573906	139.53408619151196
a63f65ad0f7a1ffc9e5ea828e95cdd6b	19.02715512308605	5.511550402048946	0.8996663536351004	6.12621599082764	8.99936217781892e-10	1.2002899304665984e-7	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia	NA	5.511550402048946	45918492.37547462
d49783e7800974b5f2bcce554e26072e	4.496018185653991	2.6845065335196887	0.8109245697684827	3.3104269294567183	9.315377028392615e-4	0.010142354376831551	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia	NA	2.6845065335196887	264.68277815770057
3525e8f55cd3355cc02bb9df648623e2	1.8716093083454242	-2.423189938628393	0.5238942349840827	-4.62534186638266	3.739810418672325e-6	1.330125905574457e-4	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia	NA	2.423189938628393	18217.74862419405
27a7197b6f932b622896bc3dc90f3200	1.914328384809039	-2.291142350618748	0.5525801729133354	-4.146262321608999	3.379466337333077e-5	6.803567135725269e-4	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__[Ruminococcus]_gauvreauii_group	NA	2.291142350618748	3367.560435448704
61535a40adb8221483821e3984d0b1ac	22.90035383290515	2.3526099225710975	0.8649249290661117	2.7200163199265037	0.0065278694459247645	0.040261483808102454	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__[Ruminococcus]_gauvreauii_group	NA	2.3526099225710975	58.43326425286006
c6b90711837508687841b1d5cbff2f65	3.350715473954434	2.7460470588130126	0.7310456636672739	3.7563276759450708	1.7242490250269927e-4	0.002787918803236647	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	NA	NA	2.7460470588130126	984.9810028990001
b1a2eb74f17971864ed1ed964da108e5	107.85052866175413	6.684135539926136	1.192523915938995	5.605032696273464	2.082156550342688e-8	1.8513841993463733e-6	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__Sneathia	NA	6.684135539926136	3610344.9204578684
63749f93fa752451b71632e68523bb95	8.681032744686988	4.472194073516798	0.8488209681922612	5.268713004393913	1.373835616484677e-7	8.143792237717503e-6	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__Sneathia	NA	4.472194073516798	549153.7533096792
da8644094f1d480f3b3a6a03a7027ab4	62.35957452420954	4.6313929689421585	1.0049996810458877	4.608352675418105	4.0587180370906654e-6	1.3837425656088254e-4	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Hungatella	NA	4.6313929689421585	33470.047710098566
24646f903382ae52da1b45805982e09f	9.588801746311814	-2.3627194434826064	0.8426509909260743	-2.8039122589602314	0.005048664215349415	0.033918270422357996	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Extibacter	NA	2.3627194434826064	69.6591958865086
7eac17dba253d45b7426ebc866487e31	3.2078050461206744	2.962874836854631	0.7030263972760992	4.2144574490152795	2.5037934983032638e-5	5.23832875037173e-4	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	NA	NA	2.962874836854631	5656.14526702696
e02967778c804350d971534895b0dfae	29.807346424560482	-4.778278915600513	0.8922378487366516	-5.355386932269498	8.537352063209978e-8	5.715618369424077e-6	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	NA	NA	4.778278915600513	836003.8418873629
a5af97c864a48da5a31864d5382cea20	5.080728609827865	-3.057663758686862	0.5922192828571708	-5.163060115055892	2.4294507524745805e-7	1.3643283962580932e-5	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	NA	NA	3.057663758686862	224114.93941436932
6eaef2dd2e8097421a196c104a2b76c8	12.17210099797607	-4.448931042263358	0.8966358307679014	-4.96180376647806	6.984153732271983e-7	2.980836812933682e-5	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Enterocloster	NA	4.448931042263358	149251.07684391504
