row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Domain	Phylum	Class	Order	Family	Genus	Species
2d16d001e21717f960cf771ae879b1dd	1	7.812247503266572e-17	0.5156406726742813	1.5150564952042475e-16	0.9999999999999999	0.9999999999999999	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	NA
342aa16012d5dd3a335eb453c762ccc0	1.1232876712328768	-5.4425124899479254e-8	0.5196850065476464	-1.0472714089066064e-7	0.9999999164398312	0.9999999999999999	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	NA
e4ac0ea2d3110a7a0fbb7d37386f53a2	1.36986301369863	-1.9435588362324986e-7	0.6179806334739032	-3.1450157674149403e-7	0.9999997490640475	0.9999999999999999	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Elsterales	f__Incertae_Sedis	g__Incertae_Sedis	NA
13146d4939fcf946a0accdf800121e32	1.2328767123287672	-1.0170949729152073e-7	0.5386555783898356	-1.8882102287987739e-7	0.9999998493426211	0.9999999999999999	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Elsterales	f__Incertae_Sedis	g__Incertae_Sedis	NA
b99a4d2c3620448fcb2d9cbc77dd2b8e	1.178082191780822	-8.240817136084683e-8	0.5435220890195585	-1.516188081877228e-7	0.9999998790256939	0.9999999999999999	d__Bacteria	p__NB1-j	c__Incertae_Sedis	o__Incertae_Sedis	f__Incertae_Sedis	g__Incertae_Sedis	NA
6f66ba6c62a32733b88be65908a71afa	1.1643835616438356	-7.127202902480568e-8	0.5233847127491276	-1.3617522118757086e-7	0.9999998913478935	0.9999999999999999	d__Bacteria	p__Myxococcota	c__Polyangiia	o__Polyangiales	f__Sandaracinaceae	g__Incertae_Sedis	NA
79f86519148638f865325943211bd56e	1.1095890410958904	-4.877033323263625e-8	0.5188969425184775	-9.398847677908524e-8	0.9999999250080455	0.9999999999999999	d__Bacteria	p__Myxococcota	c__Polyangiia	o__Polyangiales	f__Polyangiaceae	g__Pajaroellobacter	NA
21b726d9e46d31c3340e0ded2ce93cda	1	7.812247503266572e-17	0.5156406726742813	1.5150564952042475e-16	0.9999999999999999	0.9999999999999999	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Incertae_Sedis	NA
6349b9390370e0c49a1125963649dfdc	1.2054794520547945	-8.887846369378638e-8	0.5308242218067816	-1.674348306700629e-7	0.9999998664063336	0.9999999999999999	d__Bacteria	p__Myxococcota	c__Polyangiia	o__Haliangiales	f__Haliangiaceae	g__Incertae_Sedis	NA
612b65b15d2a64e55bef0a6f28a0f7d0	1.2602739726027397	-1.2720071929188122e-7	0.5752422564622938	-2.2112547863600668e-7	0.9999998235673946	0.9999999999999999	d__Bacteria	p__RCP2-54	c__Incertae_Sedis	o__Incertae_Sedis	f__Incertae_Sedis	g__Incertae_Sedis	NA
324792d80a7bdee8e81e5887b4504842	1.2328767123287672	-1.0170949729152073e-7	0.5386555783898356	-1.8882102287987739e-7	0.9999998493426211	0.9999999999999999	d__Bacteria	p__Myxococcota	c__bacteriap25	o__Incertae_Sedis	f__Incertae_Sedis	g__Incertae_Sedis	NA
16dedc79dc6331305afc61a06e0a39e9	1.1369863013698631	-6.003859340531792e-8	0.5206522344418955	-1.1531419522222026e-7	0.999999907992584	0.9999999999999999	d__Bacteria	p__RCP2-54	c__Incertae_Sedis	o__Incertae_Sedis	f__Incertae_Sedis	g__Incertae_Sedis	NA
