# Constructed from biom file
#OTU ID	SRR27830964	SRR27830965	SRR27830966	SRR27830967	SRR27830968	SRR27830969	SRR27830970	SRR27830971	SRR27830972	SRR27830973	SRR27830974	SRR27830975	SRR27830976	SRR27830977	SRR27830978	SRR27830979	SRR27830980	SRR27830981	SRR27830982	SRR27830983	SRR27830984	SRR27830985	SRR27830986	SRR27830987	SRR27830988	SRR27830989	SRR27830990	SRR27830991	SRR27830992	SRR27830993	SRR27830994	SRR27830995	SRR27830996	SRR27830997	SRR27830998	SRR27830999	SRR27831000	SRR27831001	SRR27831002	SRR27831003	SRR27831004	SRR27831005	SRR27831006	SRR27831007	SRR27831008	SRR27831009	SRR27831010	SRR27831011	SRR27831012	SRR27831013	SRR27831014	SRR27831015	SRR27831016	SRR27831017	SRR27831018	SRR27831019	SRR27831020	SRR27831021	SRR27831022	SRR27831023	SRR27831024	SRR27831025	SRR27831026	SRR27831027	SRR27831028	SRR27831029	SRR27831030	SRR27831031	SRR27831032	SRR27831033	SRR27831034	SRR27831035	SRR27831036	SRR27831037	SRR27831038	SRR27831039	SRR27831040	SRR27831041	SRR27831042	SRR27831043	SRR27831044	SRR27831045	SRR27831046	SRR27831047	SRR27831048	SRR27831049	SRR27831050	SRR27831051	SRR27831052	SRR27831053	SRR27831054	SRR27831055	SRR27831056	SRR27831057	SRR27831058	SRR27831059	SRR27831060	SRR27831061	SRR27831062	SRR27831063	SRR27831064	SRR27831065	SRR27831066	SRR27831067	SRR27831068	SRR27831069	SRR27831070	SRR27831071	SRR27831072	SRR27831073	SRR27831074	SRR27831075	SRR27831076	SRR27831077	SRR27831078	SRR27831079	SRR27831080	SRR27831081	SRR27831082	SRR27831083	SRR27831084	SRR27831085	SRR27831086	SRR27831087	SRR27831088	SRR27831089	SRR27831090	SRR27831091	SRR27831092	SRR27831093	SRR27831094	SRR27831095	SRR27831096	SRR27831097	SRR27831098	SRR27831099	SRR27831100	SRR27831101	SRR27831102	SRR27831103	SRR27831104	SRR27831105	SRR27831106	SRR27831107	SRR27831108	SRR27831109
f7447c8e079023f4f2579d8580575dd3	50.0	47.0	87.0	145.0	40.0	80.0	32.0	83.0	154.0	39.0	66.0	240.0	0.0	160.0	0.0	0.0	37954.0	52631.0	52.0	78.0	64.0	95.0	95.0	156.0	0.0	87.0	1186.0	63.0	52766.0	142.0	132.0	3138.0	619.0	51.0	63444.0	214.0	8499.0	179.0	107.0	5796.0	52.0	77.0	132.0	71.0	243.0	3942.0	103.0	17541.0	14.0	149.0	99.0	68.0	48727.0	828.0	642.0	0.0	45.0	31.0	5801.0	23980.0	50223.0	1432.0	47.0	41.0	62.0	986.0	101.0	68.0	1219.0	170.0	182.0	92.0	501.0	170.0	71.0	35.0	371.0	985.0	595.0	54.0	135.0	175.0	3135.0	81.0	293.0	353.0	49.0	113.0	86.0	2260.0	259.0	194.0	0.0	93.0	49.0	56.0	37.0	173.0	69.0	80.0	51.0	51045.0	279.0	329.0	42035.0	8415.0	14758.0	372.0	20789.0	400.0	57.0	40.0	61.0	38.0	70.0	135.0	15874.0	60157.0	113.0	98.0	33577.0	105.0	0.0	2304.0	24251.0	35.0	8.0	51.0	70.0	23959.0	110.0	73.0	24580.0	18943.0	53.0	39815.0	58922.0	56.0	30668.0	72.0	0.0	63.0	128.0	24271.0	234.0	45212.0
3bac14d2805bf995afe9d316a5777b1e	27.0	0.0	0.0	121.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	33.0	89.0	0.0	0.0	0.0	0.0	1749.0	29.0	0.0	52.0	65.0	77.0	0.0	38.0	3608.0	0.0	35.0	0.0	96.0	30.0	0.0	0.0	120.0	47348.0	31116.0	0.0	98.0	910.0	0.0	656.0	42659.0	43739.0	48.0	0.0	28.0	18517.0	8290.0	14.0	42038.0	21349.0	0.0	60.0	35450.0	0.0	19.0	29283.0	26571.0	0.0	45.0	12827.0	24863.0	15.0	0.0	0.0	0.0	0.0	71.0	78.0	0.0	0.0	118.0	0.0	39.0	0.0	78.0	150.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	595.0	0.0	0.0	0.0	21.0	0.0	0.0	72.0	0.0	26.0	0.0	0.0	26359.0	28919.0	3576.0	21.0	0.0	62.0	80.0	305.0	43078.0	22475.0	0.0	30.0	38.0	0.0	0.0	0.0	331.0	33065.0	8964.0	35610.0	21.0	75.0	0.0	0.0	495.0	0.0	70.0	217.0	0.0	0.0	16355.0	1071.0	2866.0	62.0	0.0	13654.0	3273.0	29.0	25.0	32.0	0.0	37.0	0.0	0.0
a8e53bd66879cd51ecb4e7daf552accb	4895.0	0.0	0.0	43.0	666.0	0.0	100.0	0.0	78.0	318.0	0.0	271.0	0.0	0.0	0.0	0.0	14.0	35.0	24.0	87.0	20.0	0.0	831.0	0.0	71.0	0.0	0.0	0.0	19.0	9769.0	0.0	0.0	0.0	6617.0	0.0	198.0	3508.0	23356.0	0.0	0.0	19063.0	0.0	0.0	0.0	810.0	7973.0	72.0	731.0	140.0	0.0	26.0	0.0	0.0	43.0	26.0	15.0	0.0	0.0	0.0	11.0	11.0	0.0	27.0	0.0	127.0	0.0	7714.0	47.0	52.0	0.0	281.0	215.0	573.0	0.0	0.0	39.0	181.0	23.0	0.0	47.0	0.0	0.0	8775.0	125.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	44.0	0.0	48.0	0.0	35.0	227.0	0.0	33988.0	28642.0	0.0	27.0	32.0	0.0	1502.0	98.0	24281.0	3723.0	21408.0	110.0	0.0	107.0	25.0	340.0	6692.0	15628.0	0.0	0.0	3137.0	0.0	11.0	0.0	0.0	0.0	11788.0	0.0	0.0	18.0	12108.0	33.0	1543.0	36893.0	0.0	11536.0	38.0	61.0	35.0	22165.0	23.0	0.0	0.0	49.0	979.0	16856.0	39923.0	13.0
99deb3c5ecb022ec05609ebd1112a557	354.0	10877.0	1083.0	876.0	80.0	21007.0	592.0	2153.0	600.0	0.0	10171.0	11416.0	13401.0	1270.0	5093.0	5599.0	0.0	0.0	2781.0	92.0	0.0	0.0	4466.0	7278.0	12267.0	912.0	37.0	0.0	14.0	0.0	0.0	2645.0	2428.0	1373.0	0.0	17.0	0.0	40.0	473.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	10.0	58.0	6.0	12155.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	14338.0	12025.0	5668.0	5828.0	4703.0	10266.0	10549.0	0.0	3190.0	1711.0	14084.0	8414.0	0.0	4216.0	15951.0	4478.0	6213.0	1875.0	3020.0	3570.0	316.0	1350.0	233.0	2771.0	1380.0	658.0	256.0	0.0	33.0	0.0	0.0	5796.0	8358.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	10.0	0.0	36.0	0.0	25.0	0.0	0.0	5840.0	0.0	0.0	28.0	0.0	19.0	0.0	0.0	0.0	0.0	534.0	9097.0	0.0	15287.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3999.0	1033.0	0.0	2849.0	34.0	0.0	27.0
d46e2205f0c6ecf67b51f83d111c509c	9.0	684.0	612.0	59.0	161.0	10425.0	208.0	951.0	9538.0	7986.0	244.0	17293.0	1451.0	1513.0	1923.0	0.0	0.0	0.0	5966.0	17224.0	0.0	212.0	28581.0	1413.0	0.0	98.0	1728.0	0.0	0.0	0.0	28.0	6492.0	2469.0	0.0	0.0	0.0	0.0	28.0	6256.0	7.0	0.0	0.0	26.0	0.0	0.0	11.0	0.0	0.0	0.0	5540.0	18.0	0.0	0.0	0.0	3.0	0.0	5044.0	0.0	7.0	0.0	98.0	0.0	0.0	5764.0	3234.0	1421.0	1101.0	11.0	122.0	308.0	1980.0	1122.0	27.0	873.0	1785.0	95.0	16734.0	2927.0	5190.0	34208.0	1240.0	1117.0	1758.0	219.0	10568.0	1416.0	17687.0	0.0	0.0	0.0	11.0	279.0	0.0	19.0	0.0	1619.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	23.0	6.0	4.0	302.0	228.0	5.0	0.0	207.0	7.0	0.0	0.0	0.0	6.0	0.0	38.0	71.0	0.0	9577.0	0.0	0.0	12.0	1724.0	0.0	0.0	10.0	0.0	0.0	0.0	7.0	0.0	0.0	1565.0	609.0	8757.0	0.0	0.0	0.0	75.0
a22c8ef72659b99e76dd5d4ec6b37843	7054.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	130.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	14498.0	0.0	0.0	0.0	1524.0	0.0	127.0	2173.0	17371.0	365.0	0.0	800.0	0.0	0.0	0.0	83.0	8696.0	1211.0	26.0	0.0	8.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	16.0	25.0	47.0	0.0	15.0	225.0	406.0	52.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3319.0	1861.0	81.0	432.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3459.0	0.0	0.0	17.0	0.0	237.0	0.0	4774.0	6504.0	14634.0	101.0	0.0	46.0	0.0	7.0	11683.0	11850.0	1679.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	7.0	31645.0	7.0	444.0	18.0	18.0	382.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	22.0	441.0	4589.0	16974.0	0.0
0df6c802966e8670279671824da4f10a	0.0	0.0	0.0	0.0	85.0	0.0	0.0	119.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	407.0	0.0	0.0	70.0	36.0	0.0	32.0	0.0	32179.0	0.0	62.0	31443.0	0.0	0.0	98.0	0.0	0.0	17.0	0.0	247.0	31133.0	166.0	0.0	0.0	0.0	1319.0	2084.0	0.0	0.0	45.0	0.0	180.0	0.0	2413.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	303.0	4765.0	0.0	14127.0	0.0	0.0	192.0	0.0	0.0	666.0	0.0	0.0	0.0	0.0	0.0	0.0	2501.0	0.0	16943.0	0.0	0.0	0.0	0.0	18904.0	0.0	86.0	35.0	0.0	0.0	0.0	113.0	0.0	1390.0	0.0	0.0	38.0	0.0	0.0	691.0	0.0	78.0	280.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	4194.0	0.0
2c982937754e6321f861027032db80f7	536.0	0.0	0.0	0.0	42.0	3382.0	81.0	0.0	6279.0	0.0	137.0	1364.0	824.0	0.0	2652.0	0.0	0.0	0.0	0.0	6143.0	4765.0	595.0	4486.0	7328.0	0.0	0.0	1475.0	0.0	0.0	0.0	0.0	0.0	4006.0	0.0	11.0	0.0	0.0	0.0	9282.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1928.0	0.0	0.0	0.0	0.0	0.0	0.0	18545.0	0.0	0.0	0.0	0.0	0.0	0.0	2967.0	0.0	847.0	0.0	0.0	1299.0	316.0	18161.0	437.0	0.0	0.0	0.0	363.0	0.0	6226.0	0.0	0.0	0.0	0.0	0.0	0.0	11956.0	24282.0	0.0	0.0	146.0	0.0	0.0	441.0	0.0	9858.0	474.0	189.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	10.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	574.0	22.0	83.0	0.0	0.0	0.0
edb02840fe91e2472e2935917600da98	0.0	0.0	39.0	20575.0	0.0	0.0	1148.0	0.0	0.0	0.0	51.0	1498.0	223.0	0.0	0.0	167.0	0.0	0.0	9548.0	0.0	0.0	0.0	20.0	0.0	297.0	18296.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	723.0	0.0	49.0	0.0	0.0	304.0	0.0	0.0	0.0	8.0	0.0	0.0	1397.0	12568.0	303.0	344.0	52.0	897.0	52.0	0.0	0.0	142.0	0.0	333.0	0.0	2108.0	0.0	0.0	696.0	5562.0	3755.0	0.0	718.0	529.0	0.0	12.0	165.0	6816.0	15.0	727.0	0.0	0.0	3487.0	10.0	2989.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	244.0	0.0	71.0	3812.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	1112.0	15.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24526.0	222.0	0.0	0.0	0.0	0.0
bffd79a65e1cd0c98d984f7df8f1ed09	8030.0	0.0	0.0	0.0	9.0	0.0	61.0	0.0	22.0	0.0	0.0	114.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9405.0	0.0	0.0	0.0	0.0	0.0	98.0	1966.0	15996.0	22.0	0.0	10932.0	0.0	0.0	0.0	76.0	8283.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	56.0	0.0	0.0	64.0	304.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3011.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	6340.0	0.0	0.0	14.0	0.0	1018.0	25.0	9.0	10255.0	11545.0	81.0	0.0	48.0	0.0	0.0	10.0	775.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7111.0	0.0	29.0	0.0	22.0	5116.0	17.0	11.0	0.0	0.0	6.0	0.0	0.0	25.0	0.0	12015.0	55.0	0.0
