Body_Site	Best_mtry	Best_splitrule	Best_min_node	CV_Accuracy	AUC_Control	AUC_CPP	AUC_CPP_Endo
Rectal	6	gini	1	0.5017957875457877	0.48914743589743614	0.6838413547237074	0.5625225563909776
Vaginal	6	gini	2	0.4850677655677656	0.4361133879781418	0.5975869565217388	0.5683984962406013
