Body_Site	Best_mtry	Best_splitrule	Best_min_node	CV_Accuracy	AUC_Control	AUC_CPP	AUC_CPP_Endo
Rectal	2	extratrees	2	0.513063186813187	0.5326346153846161	0.5202985739750445	0.5228609022556393
Vaginal	3	gini	1	0.4450119047619049	0.6483674863387967	0.550269565217391	0.6804962406015033
